name,url,developer,year,screenshot,youtube,vimeo,steam,apple,google
Krautscape,http://www.krautscape.net/,Mario von Rickenbach,2013,http://www.krautscape.net/images/steams.png,,http://player.vimeo.com/video/52419083?portrait=0&color=ffffff/,,,
Ladders to Heaven,http://www.rietberg.ch/de-ch/kunstvermittlung/projekte/spiele.aspx,Museum Rietberg,2011,http://www.rietberg.ch/media/141009/ladders.jpg,,,,,
Laichenberg,http://laichenberg.and-or.ch/,and-or,2010,http://laichenberg.and-or.ch/imgs/buttonabout.png,,,,,
Legend of Tell,http://pixcube.com/the-legend-of-tell/,Pixcube Animation Studio,2011,http://pixcube.com/blog/wp-content/uploads/2011/09/level1.jpg,,,,,
Lemmings Defense,https://play.google.com/store/apps/details?id=ch.zhaw.towerdefense.android,Projektarbeit ZHAW,2014,https://lh4.ggpht.com/r3iAB7pa-eZ-wcqHQhJBtbjZvpfhiRzwMDlv3fGvRaLdQHPjaWmSMtbdsbWT8k_MPfM=h900,,,,,https://play.google.com/intl/de_ch/about/giftcards
LiquidSketch,http://liquidsketch.com/,Tobias Neukom,2014,http://liquidsketch.com/wp-content/uploads/2014/05/sandbox_2x-300x225.jpg,https://www.youtube.com/watch?v=dpNjEEtodtg?feature=oembed,,,,
Les Voies Lactées,http://digitalkingdom.ch/portfolio/les_voies_lactees/,DIGITAL KINGDOM,2014,http://digitalkingdom.ch/wp-content/uploads/2014/06/sc_plateau_jeu_final-copie-1170x658.jpg,,,,,
Macrocosm,http://www.klaaskaat.ch/html/projects/projectCosm.html,Klaas Kaat,2014,http://www.klaaskaat.ch/content/cosm/cosm3.jpg,,,,https://itunes.apple.com/de/app/macrocosm/id892783580?mt=8,
Magnetics,https://www.flickr.com/photos/headmediadesign/8026173495/in/set-72157632076668751,"Fabien Duperrex, HEAD Genève",2012,https://c1.staticflickr.com/9/8176/8026173495_8be18b5cbe_z.jpg,,,,,
Mau Mau Deluxe,http://www.gangogames.com/,gangogames,2010,http://www.gangogames.com/images/screens/cc_screen1.jpg,,,,,https://play.google.com/store/apps/details?id=com.codebox.Shithead
Meet the Street,http://www.meet-the-street.ch/en/,Blindflug Studios,,http://www.meet-the-street.ch/uploads/medialibrary/2013/03/mts_0000_gamescreen-01_1.jpg,https://www.youtube.com/watch?v=D9fv31xBs2I?wmode=window&feature=oembed,,,https://itunes.apple.com/us/app/meet-the-street/id600520689?mt=8,
Mehrspur,http://www.mehrspur.ch/dev/?page_id=513,kruz + kiyak,2011,,https://www.youtube.com/watch?v=rvD-cjCISFA?fs=1&feature=oembed,,,,
Memento,http://mobile.sumointeractive.com/,Sumo Interactive,2012,http://mobile.sumointeractive.com/_i/sumointeractive-memento-screenshot_fr.gif,,,,,
Memoreille,http://www.memoreille.ch,"Gaudenz Badrutt, BUMMZACK",2014,,https://www.youtube.com/watch?v=e-lZto5hnCY?rel=0,,,,
Mikma,http://diplomes.etapes.com/users/nadezda-suvorova,Nadesza Suvorova,2014,http://diplomes.etapes.com/system/users/avatars/000/009/053/medium/Portrait_NSuvorovaRMueller.jpg,,,,,
Mirage,http://www.mariov.ch/mirage/,Mario von Rickenbach,2010,http://www.mariov.ch/mirage/media_scaled/media/mirage_1-1050.jpg,,http://player.vimeo.com/video/52407555?portrait=0&badge=0&color=ffffff/,,,
Monospace,http://www.nonverbal.ch/mono.html,Nonverbal,2010,,,,,,
MonsterUp,http://www.kariosgames.com/monsterup/,Karios games,2012,http://www.kariosgames.com/wp-content/uploads/2014/01/Logo_trans.png,,,,,
MonsterUp Adventures,http://download.kariosgames.com/monsterup,KariosGame,2013,http://assets-02.app.lk/screenshots/1/1422711/ffadbe05bfba54c0c1a158793b59c1f6?size=800,,,,,
MonsterUp Candy Run,http://app.kariosgames.com/mucandyrun,KariosGame,2014,http://app.kariosgames.com/mucandyrun.qr?c=1xfg14X2FwA&x=&t=,,,,,
Moonga,http://www.moonga.com/,EverdreamSoft,2010,http://www.moonga.com/images/cards/big/505.jpg,,,,,
MyTP series,http://www.rndrln-games.com/,RNDRLN Games,,http://www.rndrln-games.com/images/screenshots/MyTP25MAC/MyTP_25_1m.jpg,,,,https://itunes.apple.com/app/id884773491,
My Animal Box,http://appswithlove.com/work/meine-tierkiste/,Apps with love,2011,http://appswithlove.com/wp-content/uploads/2011/08/animalbox-de1.jpg,,,,,
Nandeyanen!? - The 1st Sûtra,http://tchagata.com/games/nandeyanen/,Tchagata Games,2014,http://tchagata.com/wp-content/uploads/2014/11/hellequin-final.png,https://www.youtube.com/watch?v=y4rnCKDk7MY?feature=oembed,,,,
Nanorunners,http://www.and-or.ch/nanorunners/,and-or,2012,http://www.and-or.ch/nanorunners/pictures/ingame.png,https://www.youtube.com/watch?v=kS3scExRONQ?rel=0,,,,
"No, Human",http://vol-2.com/nohuman/,Rolf Fleischmann,2010,http://vol-2.com/nohuman/img/img02.jpg,,,,,
OKO,http://www.nadezdas.com/oko/,"Nadezda Suvorova, HEAD Genève",2013,,,,,,
Patent Blaster,http://zarkonnen.itch.io/patent-blaster,David Stark,2013,http://img.itch.io/aW1hZ2UvNDUwMi8xNTMzNi5wbmc=/original/8Onz7Q.png,https://www.youtube.com/watch?v=LFV_pQUt0t4,,,,
Parcours’pro,http://digitalkingdom.ch/portfolio/parcourspro/,DIGITAL KINGDOM,2014,http://digitalkingdom.ch/wp-content/uploads/2014/07/dfjc_stand_pic3.jpg,,,,,
Perils of Man,http://www.perilsofman.com/,IF Games,2014,https://www.perilsofman.com/wp-content/uploads/2014/02/menu_logo-e1393463814414.png,,,,,
Picnic Wars,https://www.facebook.com/PicnicWars,Crown Adam AG,,,,,,,
Pikselbacteria,http://www.pikselbacteria.ch/,and-or,2012,http://www.pikselbacteria.ch/imgs/potemkinandaugmentedreality.jpg,https://www.youtube.com/watch?v=JVX1Vl46qeU,,,,
Pingwin Adventures,http://www.feinheit.ch/portfolio/projekte/pingwin-adventures/,Feinheit,2012,http://www.feinheit.ch/media/_thumbs/medialibrary/2013/07/fh_pingwin_mood1_cropscale_706x419.png,,http://player.vimeo.com/video/33675619?color=62AFD4/,,,
PipeFiction,http://www.odddots.net/pipefiction/game.aspx,odddots,2012,http://www.odddots.net/media/pf.png,https://www.youtube.com/watch?v=Hmb6s7ZtAQw,,,,
Pixel Mogul,http://pixelmogul.ala.ch/,ala,2014,http://pixelmogul.ala.ch/img/features/buildings.gif,https://www.youtube.com/watch?v=S9x60JAq1h8?rel=0&vq=hd720,,,https://itunes.apple.com/app/id711358248,
Plopp,http://games2be.com/projects/plopp/,games2be,2011,http://games2be.com/wp-content/uploads/2011/10/Icon550-150x150.png,https://www.youtube.com/watch?v=E2vyMZjmRH8,,,,https://play.google.com/store/apps/details?id=com.games2be.plopp2
Rockstar Rampage,http://www.gamesoftheuniverse.com/,Games of the Universe,2014,http://www.gamesoftheuniverse.com/images/titleRR_4.gif,,,,https://itunes.apple.com/us/app/rockstar-rampage/id670733636?mt=8&uo=4,
S**thead,http://www.gangogames.com/,gangogames,2012,http://www.gangogames.com/images/screens/cc_screen1.jpg,,,,,https://play.google.com/store/apps/details?id=com.codebox.Shithead
Seasons of Life,http://www.feinheit.ch/portfolio/projekte/seasons-life/,Feinheit,2014,http://www.feinheit.ch/media/_thumbs/medialibrary/2014/07/Pinwand1_cropscale_706x419.png,,,,https://itunes.apple.com/ch/app/seasons-of-life/id867448152?mt=8,https://play.google.com/store/apps/details?id=com.axa.seasons.ch
Season's Street,http://www.seasonsstreet.com/,Witchlake,2014,http://www.seasonsstreet.com/screenshots/ic1_big.jpg,https://www.youtube.com/watch?v=zc4JSBaopfk,,,https://itunes.apple.com/us/app/seasons-street/id634888672?l=fr&ls=1&mt=8,
Shoggoth Rising,http://www.shoggothrising.com/en/,Dreipol,2014,http://www.shoggothrising.com/static/img/ned.png,https://www.youtube.com/watch?v=8sCrmBmBwNo?rel=0;controls=0;autohide=1;showinfo=0;,,,https://itunes.apple.com/app/shoggoth-rising/id729429892,https://play.google.com/store/apps/details?id=ch.dreipol.shogothrising
SkyRider,http://cargocollective.com/fieldOfView/SkyRider-iPhone-Game,Marc Gruber,2011,http://payload.cargocollective.com/1/4/141577/1880762/prt_220x362_1313690402.jpg,,,,,
Spirit Fever,http://www.spirit-fever.com/game/,Joëlle Krummenacher/Florian Glardon,2009,,,,,,
Spoing,http://games2be.com/projects/spoing-2/,games2be,2011,http://games2be.com/wp-content/uploads/2010/12/8.2-150x150.png,https://www.youtube.com/watch?v=MpA2x9Cmffo,,,,https://play.google.com/store/apps/details?id=com.games2be.spoing
Suicide Survival,http://suicide-survival.com,Tobias Baumann,2008,http://suicide-survival.com/wp-content/uploads/2013/09/2013-09-12_00008.jpg,https://www.youtube.com/watch?v=IU_JHheywC4?feature=oembed,,,,
The Firm,http://www.sunnysidegames.ch/portfolio/thefirm/,Sunnyside Games,2014,http://i2.wp.com/www.sunnysidegames.ch/site/wp-content/uploads/2014/03/SLIDER_BG.jpg?resize=220%2C140,https://www.youtube.com/watch?v=mvKbNakMDdQ?list=PLbeNGeNmVIS8C9v_CeUN1Rdtc2vly43GC,,,,
The Fugitive Program,http://tfp.2ndsky.ch/,Tobias Baumann,2009,,,,,,
"The Good, The Bad & The Beauty",http://gbb-game.com/,"Fabian Brunner, Goran Saric, Marco Schmid, Don Schmocker",2014,,,,,,
The Path of Go,http://marketplace.xbox.com/en-US/Product/The-Path-of-Go/66acd000-77fe-1000-9115-d8025841099f,Codebox,2010,http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d8025841099f/1033/screenlg1.jpg,,,,,
Tiny Owls,http://games2be.com/projects/tinyowls/,games2be,2013,http://games2be.com/wp-content/uploads/2012/06/Tiny-Owls-5.png,https://www.youtube.com/watch?v=Rj9M1w-eJCM,,,,https://play.google.com/store/apps/details?id=com.games2be.tinyowls
Tschau Sepp,http://www.gangogames.com/,gangogames,2010,http://www.gangogames.com/images/screens/cc_screen1.jpg,,,,,https://play.google.com/store/apps/details?id=com.codebox.Shithead
Train Fever,http://www.train-fever.com/,Urban Games,2014,http://www.train-fever.com/wordpress/wp-content/uploads/2015/02/screen_00.jpg,https://www.youtube.com/watch?v=E0XqtFl3k3U?rel=0,,,,
U2U,http://www.u2u-game.ch/,Benjamin Lemke,2015,,https://www.youtube.com/watch?v=vo1niw_vDDw?feature=oembed,,,,
Wardive,http://www.and-or.ch/wardive_android/,and-or,2011,http://www.and-or.ch/wardive_android/pictures/wardive_alter2.png,,,,,https://play.google.com/store/apps/details?id=com.andor.wardive#?t=W251bGwsMSwxLDIxMiwiY29tLmFuZG9yLndhcmRpdmUiXQ..
Within,http://ragekit.itch.io/within,"Benjamin Gattet, HEAD Genève",2014,,,,,,
Ynth,http://www.krabl.com/krabl/ynth.html,krabl.com,2009,http://www.krabl.com/krabl/ynth_files/turnbox.jpg,,,,,
